Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
UNC13B	9	35161999	35405335	ENSG00000198722
ARHGEF40	14	21538429	21558399	ENSG00000165801
ANAPC1	2	112523848	112642267	ENSG00000153107
DNAH6	2	84743579	85046713	ENSG00000115423
MASTL	10	27443753	27475853	ENSG00000120539
ZNF587B	19	58331099	58370018	ENSG00000269343
MRGPRX3	11	18142502	18160027	ENSG00000179826
AC002472.1	22	21358030	21360736	ENSG00000269103
MGME1	20	17949556	17971765	ENSG00000125871
ARL11	13	50202435	50208008	ENSG00000152213
RP11-113D6.6	11	18161733	18211042	ENSG00000255470
UFSP2	4	186320694	186347139	ENSG00000109775
THBS1	15	39873280	39891667	ENSG00000137801
MRGPRX4	11	18194384	18195827	ENSG00000179817
RAPGEF1	9	134452157	134615461	ENSG00000107263
TLR6	4	38825336	38858438	ENSG00000174130
GIT1	17	27900487	27921072	ENSG00000108262
AP003733.1	11	61735453	61736755	ENSG00000269089
RP11-113D6.10	11	18230685	18236109	ENSG00000189332
JAKMIP2	5	146967990	147162338	ENSG00000176049
DKK4	8	42231586	42234750	ENSG00000104371
EBPL	13	50234859	50265611	ENSG00000123179
MRPL38	17	73894724	73905899	ENSG00000204316
ZNF814	19	58360099	58400442	ENSG00000204514
PHACTR1	6	12717893	13288645	ENSG00000112137
FUK	16	70488324	70514177	ENSG00000157353
SAA4	11	18252896	18258440	ENSG00000148965
PET117	20	18118517	18123813	ENSG00000232838
CTAG1A	X	153813407	153815075	ENSG00000183678
GTF2A1	14	81641796	81687721	ENSG00000165417
IARS2	1	220267444	220321380	ENSG00000067704
P2RX6	22	21364097	21383119	ENSG00000099957
USP14	18	158383	214629	ENSG00000101557
FAM114A1	4	38869298	38947360	ENSG00000197712
DMXL1	5	118373467	118584833	ENSG00000172869
PSAP	10	73576055	73611126	ENSG00000197746
CTAG1B	X	153845865	153847533	ENSG00000184033
ZNRD1	HSCHR6_MHC_MANN	30021879	30027881	ENSG00000235176
CSRP2BP	20	18118762	18169031	ENSG00000149474
SAA2	11	18260770	18270190	ENSG00000134339
STRC	15	43891596	44010458	ENSG00000242866
MET	7	116312444	116438440	ENSG00000105976
SHROOM3	4	77356253	77704406	ENSG00000138771
ARMS2	10	124214169	124216868	ENSG00000254636
PARP3	3	51976361	51982883	ENSG00000041880
CTAG2	X	153880246	153881853	ENSG00000126890
GATS	7	99798283	99869855	ENSG00000160844
SLC30A2	1	26363743	26372624	ENSG00000158014
INCENP	11	61891445	61920635	ENSG00000149503
PVRIG	7	99815864	99819113	ENSG00000213413
DCP1A	3	53317447	53381654	ENSG00000162290
ACTR1A	10	104238986	104262482	ENSG00000138107
KPNA3	13	50273447	50367057	ENSG00000102753
SLC47A1	17	19398698	19482347	ENSG00000142494
OMA1	1	58881056	59012474	ENSG00000162600
TRIM10	HSCHR6_MHC_DBB	30110050	30119038	ENSG00000227472
SPDYE3	7	99905325	99919819	ENSG00000214300
APOL3	22	36536372	36562225	ENSG00000128284
FOSB	19	45971253	45978437	ENSG00000125740
FSIP1	15	39892232	40075031	ENSG00000150667
MICA	HSCHR6_MHC_QBL	31357610	31374165	ENSG00000183214
COL21A1	6	55921388	56258892	ENSG00000124749
PEX5L	3	179512746	179754841	ENSG00000114757
SFTPC	8	22014426	22021992	ENSG00000168484
HTRA1	10	124221041	124274424	ENSG00000166033
TRIM63	1	26377795	26394927	ENSG00000158022
FTL	19	49468558	49470135	ENSG00000087086
RNPS1	16	2303117	2318413	ENSG00000205937
MEF2C	5	88013975	88199922	ENSG00000081189
LARP6	15	71123863	71146498	ENSG00000166173
MED24	17	38175350	38217468	ENSG00000008838
ICAM3	19	10444452	10450499	ENSG00000076662
C6	5	41142336	41261540	ENSG00000039537
FBLL1	5	167956121	167957639	ENSG00000188573
MED27	9	134735494	134955295	ENSG00000160563
STON2	14	81727000	81902809	ENSG00000140022
GPR176	15	40091233	40213093	ENSG00000166073
GAB3	X	153903529	153979858	ENSG00000160219
SULT1C4	2	108994367	109004513	ENSG00000198075
PPP1R11	HSCHR6_MHC_MANN	30029681	30033306	ENSG00000236560
PANK3	5	167975500	168006605	ENSG00000120137
VDAC3	8	42249142	42263415	ENSG00000078668
OCM	7	5919458	5925993	ENSG00000122543
MTERFD1	8	97251626	97273838	ENSG00000156469
SPRED2	2	65537985	65659771	ENSG00000198369
TACSTD2	1	59041099	59043166	ENSG00000184292
PDIK1L	1	26437664	26452034	ENSG00000175087
AURKA	20	54944445	54967393	ENSG00000087586
MICB	HSCHR6_MHC_QBL	31456185	31469201	ENSG00000206449
AL160274.1	9	35361056	35361262	ENSG00000268482
NPPC	2	232786530	232791113	ENSG00000163273
RNF39	HSCHR6_MHC_MANN	30033239	30038860	ENSG00000237733
ZNF587	19	58361225	58376480	ENSG00000198466
ATP6V1D	14	67761088	67826982	ENSG00000100554
SAA1	11	18287721	18291524	ENSG00000173432
FAM110D	1	26485511	26489119	ENSG00000197245
AL359693.1	6	82262307	82262537	ENSG00000269494
VPS52	HSCHR6_MHC_SSTO	33357416	33379168	ENSG00000236014
TSPY3	Y	9236030	9307357	ENSG00000228927
MYSM1	1	59120411	59165764	ENSG00000162601
CAPN7	3	15247659	15294425	ENSG00000131375
RUSC2	9	35490124	35561895	ENSG00000198853
RTN2	19	45988547	46000319	ENSG00000125744
TPGS2	18	34359987	34409158	ENSG00000134779
ZNF593	1	26496362	26498551	ENSG00000142684
GNMT	6	42928496	42931618	ENSG00000124713
THOC1	18	214520	268050	ENSG00000079134
SLC7A14	3	170177372	170303863	ENSG00000013293
NTNG2	9	135037334	135119921	ENSG00000196358
CASK	X	41374187	41782716	ENSG00000147044
SPRYD7	13	50486842	50510626	ENSG00000123178
CHKA	11	67820326	67888911	ENSG00000110721
ZNF417	19	58411664	58427978	ENSG00000173480
TRIM31	HSCHR6_MHC_MANN	30065837	30076039	ENSG00000225130
HSD17B10	X	53458206	53461320	ENSG00000072506
TRPC1	3	142442916	142526730	ENSG00000144935
ALYREF	17	79845713	79849462	ENSG00000183684
C2orf53	2	27359723	27362278	ENSG00000186143
NRBP2	8	144915764	144924200	ENSG00000185189
C4orf47	4	186347394	186370980	ENSG00000205129
SCGB1D1	11	61957688	61961011	ENSG00000168515
NTN1	17	8924859	9147317	ENSG00000065320
SOWAHB	4	77816082	77819002	ENSG00000186212
SERPINB7	18	61420169	61472604	ENSG00000166396
FAM166B	9	35561828	35563896	ENSG00000215187
CACNA1G	17	48638429	48704835	ENSG00000006283
SCGB2A1	11	61976140	61981408	ENSG00000124939
PDCD5	19	33071974	33078358	ENSG00000105185
RP11-116D17.1	12	115800817	115802550	ENSG00000257726
TCF23	2	27371872	27376378	ENSG00000163792
RAB3GAP2	1	220321635	220445796	ENSG00000118873
APOL4	22	36585172	36600886	ENSG00000100336
LRRC49	15	71145578	71342414	ENSG00000137821
AC026703.1	5	32788945	32791819	ENSG00000181495
TYK2	19	10461209	10491352	ENSG00000105397
SCGB1D2	11	62009682	62012280	ENSG00000124935
SLIT3	5	168088745	168728133	ENSG00000184347
RP11-762I7.5	12	56151059	56221330	ENSG00000257390
BX001040.1	HSCHR6_MHC_QBL	31474803	31475278	ENSG00000268728
TRIM13	13	50570024	50594617	ENSG00000204977
JUN	1	59246465	59249785	ENSG00000177606
KLHL4	X	86772752	86925050	ENSG00000102271
STX8	17	9153788	9479908	ENSG00000170310
GYS1	19	49471382	49496567	ENSG00000104812
MINK1	17	4736683	4801356	ENSG00000141503
MED13L	12	116395711	116715143	ENSG00000123066
SEPT11	4	77870856	77961537	ENSG00000138758
POGZ	1	151375200	151431941	ENSG00000143442
ZNF418	19	58433252	58446761	ENSG00000196724
EZH1	17	40852293	40897071	ENSG00000108799
ORMDL2	12	56211703	56215663	ENSG00000123353
AC009065.1	16	2303738	2312343	ENSG00000167970
CNKSR1	1	26503894	26516377	ENSG00000142675
TESK1	9	35605367	35610038	ENSG00000107140
PCOLCE2	3	142534764	142608045	ENSG00000163710
CCDC110	4	186366336	186392913	ENSG00000168491
TRIM25	17	54965270	54991399	ENSG00000121060
PKP4	2	159313476	159539391	ENSG00000144283
DFNB59	2	179316163	179326117	ENSG00000204311
CLECL1	12	9868456	9885895	ENSG00000184293
FAM178B	2	97541620	97684175	ENSG00000168754
IBTK	6	82879700	82957471	ENSG00000005700
TRIM40	HSCHR6_MHC_MANN	30149053	30161680	ENSG00000237046
KCNRG	13	50589390	50595058	ENSG00000198553
SERPINB2	18	61538926	61571124	ENSG00000197632
CD69	12	9905082	9913497	ENSG00000110848
GCC2	2	109065017	109125871	ENSG00000135968
FBF1	17	73905655	73937221	ENSG00000188878
SCGB2A2	11	62037627	62040628	ENSG00000110484
ATF1	12	51157493	51214905	ENSG00000123268
SUV420H1	11	67922330	67981295	ENSG00000110066
MLN	6	33762450	33771788	ENSG00000096395
SLC5A6	2	27422455	27435826	ENSG00000138074
FGGY	1	59762310	60233347	ENSG00000172456
FOSL2	2	28615315	28640179	ENSG00000075426
ANKRD27	19	33087913	33167503	ENSG00000105186
SCGB1D4	11	62063754	62066536	ENSG00000197745
ATXN2	12	111890018	112037480	ENSG00000204842
CYB5R2	11	7686331	7698453	ENSG00000166394
SETX	9	135136743	135230372	ENSG00000107290
GLS	2	191745553	191830278	ENSG00000115419
TRIM10	HSCHR6_MHC_MANN	30164890	30173878	ENSG00000235025
ABCA3	16	2325882	2390747	ENSG00000167972
DNAJC14	12	56214744	56224608	ENSG00000135392
TARS	5	33440802	33469644	ENSG00000113407
APOL2	22	36622256	36636000	ENSG00000128335
SLC7A4	22	21383007	21387129	ENSG00000099960
DLEU1	13	50656307	51297372	ENSG00000176124
GPR62	3	51989330	51991509	ENSG00000180929
CCZ1	7	5938356	5965605	ENSG00000122674
AGAP6	10	51748078	51770259	ENSG00000204149
EIF2AK4	15	40226347	40327797	ENSG00000128829
TMEM156	4	38968365	39034542	ENSG00000121895
ASRGL1	11	62104920	62160882	ENSG00000162174
MCCD1	HSCHR6_MHC_QBL	31486778	31488293	ENSG00000206447
MYF6	12	81101277	81103253	ENSG00000111046
FKBP7	2	179328391	179343327	ENSG00000079150
ELF4	X	129198849	129244691	ENSG00000102034
CSTB	21	45192393	45196326	ENSG00000160213
AC002472.13	22	21400249	21418457	ENSG00000187905
CHPF2	7	150929575	150935908	ENSG00000033100
WDR16	17	9479944	9546776	ENSG00000166596
ZNF629	16	30789778	30798523	ENSG00000102870
CD72	9	35609530	35646807	ENSG00000137101
IRF4	6	391739	411447	ENSG00000137265
DKC1	X	153991031	154005964	ENSG00000130826
SERPINB10	18	61564408	61603345	ENSG00000242550
MYF5	12	81110691	81113452	ENSG00000111049
LRRC43	12	122652285	122688018	ENSG00000158113
BCL7C	16	30844947	30906281	ENSG00000099385
LTB	HSCHR6_MHC_DBB	31530476	31532443	ENSG00000236925
POM121L7	22	21477050	21482352	ENSG00000239511
RRP1	21	45209394	45225174	ENSG00000160214
TRIM15	HSCHR6_MHC_MANN	30176131	30185621	ENSG00000233599
GGT2	22	21562262	21581926	ENSG00000133475
DLEU7	13	51285144	51418075	ENSG00000186047
ZNF256	19	58452201	58459043	ENSG00000152454
KLHL5	4	39046659	39128477	ENSG00000109790
GRM4	6	33989628	34123399	ENSG00000124493
MMP19	12	56229217	56236750	ENSG00000123342
TSPY1	Y	9236076	9307357	ENSG00000258992
PLCXD3	5	41307056	41510730	ENSG00000182836
PTDSS1	8	97273943	97349223	ENSG00000156471
C19orf18	19	58469805	58485902	ENSG00000177025
PPM1N	19	45992035	46005768	ENSG00000213889
CTF1	16	30907928	30914881	ENSG00000150281
SMARCD3	7	150935850	150974982	ENSG00000082014
PCBP4	3	51991470	52002426	ENSG00000090097
RNASEH2B	13	51483814	51544592	ENSG00000136104
APOL1	22	36649056	36663576	ENSG00000100342
CLLU1OS	12	92813870	92821924	ENSG00000205057
C11orf24	11	68028803	68039469	ENSG00000171067
PDCD6	5	271736	353971	ENSG00000249915
CLLU1	12	92815307	92824778	ENSG00000257127
ZNF133	20	18269121	18297640	ENSG00000125846
ANAPC11	17	79848666	79858867	ENSG00000141552
SIT1	9	35649292	35650937	ENSG00000137078
RIMBP3B	22	21737663	21743446	ENSG00000196934
ZNF606	19	58488421	58514717	ENSG00000166704
CATSPER2	15	43920701	43960316	ENSG00000166762
C12orf74	12	93096619	93102325	ENSG00000214215
ZNF219	14	21558205	21572881	ENSG00000165804
CAMK2B	7	44256749	44374176	ENSG00000058404
HIC2	22	21771693	21805752	ENSG00000169635
CDC37	19	10501810	10530797	ENSG00000105401
OXCT1	5	41730167	41870621	ENSG00000083720
HOOK1	1	60280458	60342050	ENSG00000134709
HPS5	11	18300223	18343745	ENSG00000110756
AC096644.1	1	220603286	220608023	ENSG00000224867
PLEKHA3	2	179345195	179381189	ENSG00000116095
ARSJ	4	114821440	114900883	ENSG00000180801
TRIM26	HSCHR6_MHC_MANN	30197334	30226303	ENSG00000231002
LST1	HSCHR6_MHC_DBB	31536047	31538834	ENSG00000223465
RPL22L1	3	170582664	170588272	ENSG00000163584
BMP1	8	22022249	22069839	ENSG00000168487
TMPRSS12	12	51236703	51281667	ENSG00000186452
RPS18	HSCHR6_MHC_SSTO	33379131	33382651	ENSG00000227794
PLEKHG7	12	93115281	93166231	ENSG00000187510
LRP5	11	68080077	68216743	ENSG00000162337
OVCH2	11	7710669	7727968	ENSG00000183378
DDX39B	HSCHR6_MHC_QBL	31488280	31504633	ENSG00000215425
DIS3L2	2	232825955	233209060	ENSG00000144535
PLB1	2	28680012	28866654	ENSG00000163803
FAM21A	10	51827648	51893269	ENSG00000099290
CCNF	16	2479395	2508855	ENSG00000162063
PEX6	6	42931608	42946958	ENSG00000124587
APOA5	11	116660083	116663136	ENSG00000110243
NHLRC1	6	18120718	18122851	ENSG00000187566
UGT8	4	115519611	115599380	ENSG00000174607
TTF1	9	135251008	135282209	ENSG00000125482
RIMBP3C	22	21899646	21905750	ENSG00000183246
CCDC107	9	35658301	35661508	ENSG00000159884
TPMT	6	18128542	18155305	ENSG00000137364
UBE2L3	22	21903736	21978323	ENSG00000185651
FAM124A	13	51796503	51858377	ENSG00000150510
SCGB1A1	11	62172575	62190667	ENSG00000149021
COG4	16	70514471	70557468	ENSG00000103051
APOA4	11	116691419	116694022	ENSG00000110244
SLC20A2	8	42273993	42397069	ENSG00000168575
DXO	HSCHR6_MHC_COX	31925139	31927621	ENSG00000225682
FAHD2B	2	97749320	97760619	ENSG00000144199
CAPZA2	7	116451124	116562103	ENSG00000198898
GPR34	X	41548226	41556526	ENSG00000171659
MARK1	1	220701568	220837803	ENSG00000116141
COLEC12	18	319361	500722	ENSG00000158270
KIAA1328	18	34409069	34812135	ENSG00000150477
NDST4	4	115748919	116035032	ENSG00000138653
VASP	19	46009837	46030241	ENSG00000125753
C9orf171	9	135285430	135448704	ENSG00000188523
EEA1	12	93164413	93323107	ENSG00000102189
APOC3	11	116700422	116703788	ENSG00000110245
KIFC1	HSCHR6_MHC_SSTO	33498671	33517062	ENSG00000233450
SERPINE3	13	51909909	51938871	ENSG00000253309
PILRB	7	99933737	99965356	ENSG00000121716
EIF5A2	3	170606204	170626482	ENSG00000163577
AHNAK	11	62201016	62323707	ENSG00000124942
SLC35E2	1	1656277	1677431	ENSG00000215790
ALDH3A2	17	19551449	19580911	ENSG00000072210
BARHL1	9	135457572	135465653	ENSG00000125492
PAQR9	3	142668006	142682178	ENSG00000188582
GPR82	X	41583408	41589388	ENSG00000171657
DZANK1	20	18364011	18447925	ENSG00000089091
RSPH10B	7	5965181	6010314	ENSG00000155026
ARHGEF39	9	35658872	35675863	ENSG00000137135
MEIS1	2	66660584	66801001	ENSG00000143995
APOA1	11	116706467	116708666	ENSG00000118137
AC009802.1	18	61602042	61609601	ENSG00000268706
CPXCR1	X	88002226	88009786	ENSG00000147183
HMSD	18	61616535	61649008	ENSG00000221887
OR5P2	11	7817452	7818520	ENSG00000183303
MCCC2	5	70883115	70954531	ENSG00000131844
NCR3	HSCHR6_MHC_DBB	31538820	31542910	ENSG00000237103
MAOA	X	43515467	43606068	ENSG00000189221
OR5P3	11	7846584	7847519	ENSG00000182334
CYP2J2	1	60358980	60392462	ENSG00000134716
TRIM39	HSCHR6_MHC_MANN	30338927	30359267	ENSG00000226437
MAPK13	6	36095586	36107842	ENSG00000156711
OR10A6	11	7949180	7950209	ENSG00000175393
TGIF2LX	X	89176881	89177882	ENSG00000153779
OR10A3	11	7960081	7961141	ENSG00000170683
NLRP10	11	7980971	7986973	ENSG00000182261
AGPAT3	21	45285067	45406417	ENSG00000160216
YDJC	22	21982378	21984353	ENSG00000161179
CTD-2368P22.1	19	58513429	58522600	ENSG00000176593
MYH9	22	36677327	36784063	ENSG00000100345
FAM45A	10	120863598	120897496	ENSG00000119979
SRP14	15	40327940	40331389	ENSG00000140319
SERPINB8	18	61637159	61672278	ENSG00000166401
C1orf115	1	220863187	220872499	ENSG00000162817
EXOC2	6	485133	693117	ENSG00000112685
FBXL19	16	30934376	30960104	ENSG00000099364
SLC2A2	3	170714137	170744539	ENSG00000163581
ZSCAN1	19	58545400	58565999	ENSG00000152467
EIF3F	11	7991798	8023409	ENSG00000175390
KLRF1	12	9980077	9997606	ENSG00000150045
CCSER2	10	86088342	86278273	ENSG00000107771
MARC2	1	220921567	220958150	ENSG00000117791
DDX31	9	135468384	135545788	ENSG00000125485
C16orf59	16	2510081	2514964	ENSG00000162062
MPP1	X	154006959	154049282	ENSG00000130830
CA9	9	35673853	35681156	ENSG00000107159
CCDC116	22	21987005	21991616	ENSG00000161180
ZNF142	2	219502639	219524378	ENSG00000115568
FIG4	6	110012499	110146631	ENSG00000112367
BMF	15	40380091	40401093	ENSG00000104081
ACOX1	17	73937588	73975515	ENSG00000161533
INO80D	2	206858445	206951027	ENSG00000114933
ZNF135	19	58570607	58597677	ENSG00000176293
AIFM1	X	129263337	129299861	ENSG00000156709
INTS6	13	51928213	52028400	ENSG00000102786
CGN	1	151482986	151511168	ENSG00000143375
COIL	17	55015548	55038415	ENSG00000121058
RUVBL2	19	49496705	49519252	ENSG00000183207
MARC1	1	220960101	220987735	ENSG00000186205
NUDT4	12	93771659	93797024	ENSG00000173598
METTL7A	12	51317255	51326300	ENSG00000185432
U2SURP	3	142683339	142779567	ENSG00000163714
WDR19	4	39184024	39287430	ENSG00000157796
RGS9BP	19	33166313	33169206	ENSG00000186326
OPA3	19	46030685	46105470	ENSG00000125741
ORAI3	16	30960387	30967782	ENSG00000175938
DRAM1	12	102271129	102405908	ENSG00000136048
NUDT19	19	33182867	33204702	ENSG00000213965
C1orf87	1	60452941	60539442	ENSG00000162598
LIN7A	12	81186299	81331704	ENSG00000111052
RPP21	HSCHR6_MHC_MANN	30357586	30359341	ENSG00000239865
SUFU	10	104263744	104393292	ENSG00000107882
HIGD1C	12	51347705	51364289	ENSG00000214511
GPR4	19	46093022	46105466	ENSG00000177464
WIBG	12	56295197	56326402	ENSG00000170473
IL31	12	122656577	122658746	ENSG00000204671
CDH7	18	63417488	63548638	ENSG00000081138
PHF1	HSCHR6_MHC_SSTO	33517537	33523618	ENSG00000225553
TNFAIP8	5	118604387	118735383	ENSG00000145779
SETD1A	16	30968615	30996437	ENSG00000099381
TDRD12	19	33210659	33320483	ENSG00000173809
B3GNT4	12	122688090	122693499	ENSG00000176383
MAOB	X	43625858	43741693	ENSG00000069535
SH3BP5	3	15296360	15382875	ENSG00000131370
CETN1	18	580367	581524	ENSG00000177143
HLX	1	221051699	221058401	ENSG00000136630
TUB	11	8040791	8127659	ENSG00000166402
NR1I2	3	119499331	119537332	ENSG00000144852
RP11-279O9.4	4	186392670	186393417	ENSG00000249679
KIF20A	5	137514408	137523404	ENSG00000112984
SPINK1	5	147204131	147211349	ENSG00000164266
TPM2	9	35681989	35691017	ENSG00000198467
THAP10	15	71173681	71185124	ENSG00000129028
EEF1G	11	62327073	62342401	ENSG00000254772
PARP12	7	139723544	139763521	ENSG00000059378
CLUL1	18	596988	650334	ENSG00000079101
ARL5C	17	37313147	37323737	ENSG00000141748
DUSP10	1	221874766	221915518	ENSG00000143507
ALPP	2	233243244	233247599	ENSG00000163283
ACBD5	10	27484146	27531059	ENSG00000107897
PDLIM3	4	186422851	186456766	ENSG00000154553
CKMT1A	15	43985084	43991420	ENSG00000223572
CACNA2D1	7	81575760	82073114	ENSG00000153956
CDCA7	2	174219548	174233725	ENSG00000144354
CRIPT	2	46843555	46852881	ENSG00000119878
HLA-E	HSCHR6_MHC_MANN	30501925	30506663	ENSG00000236632
SIK3	11	116714118	116969153	ENSG00000160584
DAPL1	2	159651829	159719293	ENSG00000163331
THSD4	15	71389291	72075722	ENSG00000187720
MITF	3	69788586	70017488	ENSG00000187098
SCPEP1	17	55055466	55084129	ENSG00000121064
GTF2H1	11	18343842	18388591	ENSG00000110768
NDP	X	43808022	43832750	ENSG00000124479
CREM	10	35415719	35501886	ENSG00000095794
NTN3	16	2521500	2524146	ENSG00000162068
CYP2C18	10	96443251	96495947	ENSG00000108242
HHIPL2	1	222695602	222721445	ENSG00000143512
DAZ2	Y	25365594	25437503	ENSG00000205944
C18orf56	18	641320	658340	ENSG00000176912
MTRNR2L13	4	117220016	117221520	ENSG00000270394
SF3B3	16	70557691	70608820	ENSG00000189091
PDE4A	19	10527449	10580305	ENSG00000065989
TRAM1L1	4	118004718	118006736	ENSG00000174599
CELF4	18	34823010	35146000	ENSG00000101489
TANC1	2	159825146	160089170	ENSG00000115183
RASGRP3	2	33661391	33789817	ENSG00000152689
NFIA	1	61330931	61928465	ENSG00000162599
GTF3C4	9	135545422	135570342	ENSG00000125484
EFHC2	X	44007128	44202918	ENSG00000183690
SDF2L1	22	21996550	21998587	ENSG00000128228
BCS1L	2	219523487	219528166	ENSG00000074582
TBC1D24	16	2525147	2555735	ENSG00000162065
TYMS	18	657604	673578	ENSG00000176890
NDST3	4	118954773	119179803	ENSG00000164100
SPON2	4	1160720	1202750	ENSG00000159674
AIF1	HSCHR6_MHC_DBB	31565139	31566976	ENSG00000234836
SPDL1	5	169010638	169031782	ENSG00000040275
TMEM253	14	21567096	21571883	ENSG00000232070
AK8	9	135600965	135754164	ENSG00000165695
CACNB1	17	37329709	37353956	ENSG00000067191
PPP2R5D	6	42952237	42980080	ENSG00000112640
CR382280.5	HSCHR6_MHC_MANN	30515667	30519569	ENSG00000258045
POLR3F	20	18447771	18465287	ENSG00000132664
CDH19	18	64168320	64271375	ENSG00000071991
CYP2C19	10	96447911	96613017	ENSG00000165841
AHRR	5	304291	438406	ENSG00000063438
OR5AU1	14	21623026	21624222	ENSG00000169327
RP11-20I23.1	16	2546033	2570219	ENSG00000260272
FUNDC1	X	44382885	44402247	ENSG00000069509
CCDC53	12	102406705	102455927	ENSG00000120860
EML2	19	46110252	46148887	ENSG00000125746
GNL1	HSCHR6_MHC_MANN	30553829	30569626	ENSG00000232143
TXN2	22	36863083	36878077	ENSG00000100348
ATP6V0C	16	2563871	2570219	ENSG00000185883
NPB	17	79858621	79860781	ENSG00000183979
EPPK1	8	144939497	144952632	ENSG00000227184
SMIM19	8	42396298	42409603	ENSG00000176209
TAF1A	1	222731244	222763275	ENSG00000143498
PPIL2	22	22006559	22054304	ENSG00000100023
DUSP21	X	44703249	44704130	ENSG00000189037
CARTPT	5	71014990	71016875	ENSG00000164326
DMBT1	10	124320181	124403252	ENSG00000187908
WDFY2	13	52158644	52336171	ENSG00000139668
C9orf9	9	135753414	135765588	ENSG00000165698
UBE2N	12	93799449	93836038	ENSG00000177889
DSEL	18	65173819	65184217	ENSG00000171451
LHB	19	49519237	49520338	ENSG00000104826
PPP6R3	11	68228186	68382802	ENSG00000110075
TUFT1	1	151512781	151556059	ENSG00000143367
ATP6C	16	2563966	2577956	ENSG00000259784
TRIM8	10	104404253	104418164	ENSG00000171206
CYP27C1	2	127941696	127977654	ENSG00000186684
TM2D1	1	62146718	62191095	ENSG00000162604
CGB	19	49526126	49527590	ENSG00000104827
B4GALNT3	12	569530	672675	ENSG00000139044
HSD3B7	16	30996519	31000473	ENSG00000099377
CT62	15	71402583	71407833	ENSG00000225362
PABPC5	X	90689594	90693583	ENSG00000174740
GPR6	6	110299514	110301921	ENSG00000146360
SLC11A2	12	51373184	51422349	ENSG00000110911
FOXRED2	22	36883237	36903148	ENSG00000100350
ZSCAN18	19	58595205	58629794	ENSG00000121413
